GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - With an Internet subscription,Margin of Error; Total: - With an Internet subscription,Estimate; Total: - With an Internet subscription - Dial-up with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Dial-up with no other type of Internet subscription,Estimate; Total: - With an Internet subscription - Broadband of any type,Margin of Error; Total: - With an Internet subscription - Broadband of any type,Estimate; Total: - With an Internet subscription - Cellular data plan,Margin of Error; Total: - With an Internet subscription - Cellular data plan,Estimate; Total: - With an Internet subscription - Cellular data plan - Cellular data plan with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Cellular data plan - Cellular data plan with no other type of Internet subscription,"Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL","Estimate; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL - Broadband such as cable, fiber optic or DSL with no other type of Internet subscription","Margin of Error; Total: - With an Internet subscription - Broadband such as cable, fiber optic or DSL - Broadband such as cable, fiber optic or DSL with no other type of Internet subscription",Estimate; Total: - With an Internet subscription - Satellite Internet service,Margin of Error; Total: - With an Internet subscription - Satellite Internet service,Estimate; Total: - With an Internet subscription - Satellite Internet service - Satellite Internet service with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Satellite Internet service - Satellite Internet service with no other type of Internet subscription,Estimate; Total: - With an Internet subscription - Other service with no other type of Internet subscription,Margin of Error; Total: - With an Internet subscription - Other service with no other type of Internet subscription,Estimate; Total: - Internet access without a subscription,Margin of Error; Total: - Internet access without a subscription,Estimate; Total: - No Internet access,Margin of Error; Total: - No Internet access
7950000US3604017,3604017,"NYC-Brooklyn Community District 11--Bensonhurst & Bath Beach PUMA, New York",63963,2484,53615,2448,187,160,53428,2464,47232,2254,5333,1051,47203,2241,5729,893,2791,590,176,245,0,192,543,262,9805,1292
7950000US3604018,3604018,"NYC-Brooklyn Community District 13--Brighton Beach & Coney Island PUMA, New York",47028,2670,37593,2694,299,223,37294,2664,29358,2638,5443,1302,31584,2304,7611,1353,1114,425,152,171,0,192,730,333,8705,1110
7950000US3604101,3604101,"NYC-Queens Community District 1--Astoria & Long Island City PUMA, New York",72177,2866,60322,2874,49,82,60273,2874,54052,2775,3403,789,55930,2985,5765,1028,1827,491,147,143,51,84,1016,509,10839,1347
7950000US3604102,3604102,"NYC-Queens Community District 3--Jackson Heights & North Corona PUMA, New York",49036,2453,38750,2440,36,59,38714,2449,28347,2349,2341,660,35180,2522,9773,1663,2226,718,238,252,207,244,1916,856,8370,1481
7950000US3604103,3604103,"NYC-Queens Community District 7--Flushing, Murray Hill & Whitestone PUMA; New York",84004,3502,61906,3237,333,212,61573,3244,54266,3062,14877,2531,46229,2767,6638,1123,2032,566,0,192,26,43,2917,960,19181,2052
7950000US3604104,3604104,"NYC-Queens Community District 11--Bayside, Douglaston & Little Neck PUMA; New York",42003,2042,36705,2170,216,204,36489,2229,31549,2112,3780,1083,32400,2084,4661,810,1091,359,0,192,0,192,898,464,4400,833
7950000US3604105,3604105,"NYC-Queens Community District 13--Queens Village, Cambria Heights & Rosedale PUMA; New York",58924,2515,51054,2342,103,80,50951,2328,40649,2239,8005,1144,42299,2200,9780,1446,2361,644,232,165,156,133,715,293,7155,1241
7950000US3604106,3604106,"NYC-Queens Community District 8--Briarwood, Fresh Meadows & Hillcrest PUMA; New York",54605,3224,46368,3134,96,116,46272,3137,37235,2735,3855,976,41812,3334,8823,1496,1330,433,72,87,0,192,1045,537,7192,1649
7950000US3604107,3604107,"NYC-Queens Community District 4--Elmhurst & South Corona PUMA, New York",40473,2881,31700,2510,0,192,31700,2510,27951,2610,3111,803,28162,2489,3680,1007,1464,489,0,192,69,83,1610,873,7163,1695
7950000US3604108,3604108,"NYC-Queens Community District 6--Forest Hills & Rego Park PUMA, New York",51169,2527,43905,2467,174,206,43731,2484,32751,2059,3760,912,38340,2297,9384,1738,1420,472,90,143,933,805,810,468,6454,1330
7950000US3604109,3604109,"NYC-Queens Community District 2--Sunnyside & Woodside PUMA, New York",52591,2637,44737,2264,0,192,44737,2264,29582,2061,2279,611,42034,2319,14802,1837,1178,484,0,192,106,143,1809,686,6045,1290
7950000US3604110,3604110,"NYC-Queens Community District 5--Ridgewood, Glendale & Middle Village PUMA; New York",61570,2546,51034,2413,190,127,50844,2456,40933,2149,3834,842,46336,2394,9440,1191,1944,433,69,65,0,192,1375,517,9161,1285
7950000US3604111,3604111,"NYC-Queens Community District 9--Richmond Hill & Woodhaven PUMA, New York",44811,1724,37633,1680,63,74,37570,1668,26703,1584,3801,713,33157,1682,10060,1242,1354,401,0,192,84,139,494,228,6684,1088
7950000US3604112,3604112,"NYC-Queens Community District 12--Jamaica, Hollis & St. Albans PUMA; New York",71109,2690,54758,2584,155,178,54603,2548,36959,2343,12477,1717,41147,2412,16821,1717,2476,565,322,225,102,122,1660,671,14691,1552
7950000US3604113,3604113,"NYC-Queens Community District 10--Howard Beach & Ozone Park PUMA, New York",37998,2271,32506,2187,0,192,32506,2187,24523,1867,2850,769,28796,2081,6509,1075,1048,433,30,52,326,275,601,323,4891,1103
7950000US3604114,3604114,"NYC-Queens Community District 14--Far Rockaway, Breezy Point & Broad Channel PUMA; New York",41368,2402,32299,2075,127,210,32172,2057,17277,1699,4409,1191,27113,2186,14234,2028,1093,425,273,226,0,192,477,320,8592,1715
